,token,transcript_id,sentence_id,surprisal,oov
0,the,13,0,4.531790925936484,False
1,renaissance,13,0,13.994409673836767,False
2,in,13,0,5.90996921360038,False
3,childrens,13,0,21.22882607100146,False
4,literature,13,0,14.905993457687694,False
5,is,13,0,4.846577032554702,False
6,turning,13,0,11.551353791542017,False
7,out,13,0,2.95163599115736,False
8,to,13,0,1.5400106525281183,False
9,be,13,0,0.48569757196603164,False
10,one,13,0,7.921239008164127,False
11,of,13,0,0.7554561635227378,False
12,the,13,0,0.6769247708231336,False
13,most,13,0,2.023122610884175,False
14,striking,13,0,6.3806536538323595,False
15,cultural,13,0,14.50746859572213,False
16,characteristics,13,0,11.241549819905165,False
17,of,13,0,2.4478198186929587,False
18,our,13,0,8.204856773793674,False
19,times,13,0,9.031853956259967,False
20,whether,13,1,11.167109650639807,False
21,we,13,1,4.9844848731867035,False
22,are,13,1,4.484494502014329,False
23,reassessing,13,1,17.92918353594332,False
24,the,13,1,7.996445050496329,False
25,achievements,13,1,15.830962199997424,False
26,of,13,1,1.8891591749482954,False
27,the,13,1,1.7759863811439445,False
28,past,13,1,5.263598085488768,False
29,as,13,1,5.76793936016963,False
30,with,13,1,10.233861242310647,False
31,the,13,1,3.4389320360470297,False
32,film,13,1,10.964316441857655,False
33,of,13,1,5.875266926774834,False
34,the,13,1,0.7224567463567376,False
35,lord,13,1,11.384914605139603,False
36,of,13,1,3.3874811269417,False
37,the,13,1,0.10391321418414397,False
38,rings,13,1,0.30108924496692546,False
39,or,13,1,8.874461892962579,False
40,falling,13,1,12.944317706246634,False
41,in,13,1,4.0213361308802655,False
42,love,13,1,0.6884599418830952,False
43,with,13,1,1.2293566568281957,False
44,current,13,1,12.933346000357295,False
45,childheroes,13,1,22.098811938392426,True
46,like,13,1,9.3317197942435,False
47,harry,13,1,12.397954790089512,False
48,potter,13,1,5.0743201207078155,False
49,there,13,1,12.168513633833696,False
50,has,13,1,6.535492278900684,False
51,never,13,1,6.304088127405806,False
52,been,13,1,1.5967180288625176,False
53,another,13,1,13.846204127294625,False
54,time,13,1,7.723948680528234,False
55,when,13,1,8.186775991743021,False
56,childrens,13,1,20.740257663048826,False
57,literature,13,1,14.905993457687694,False
58,could,13,1,9.6586438405576,False
59,command,13,1,14.373851861890708,False
60,such,13,1,12.226045194925266,False
61,attention,13,1,12.973025670107951,False
62,about,13,2,10.051373569917066,False
63,six,13,2,7.355341180741538,False
64,months,13,2,0.8358210579283853,False
65,ago,13,2,1.5512229312654957,False
66,i,13,2,10.121263645315807,False
67,wrote,13,2,9.662378956776045,False
68,on,13,2,5.721059929184077,False
69,these,13,2,9.325462920171042,False
70,pages,13,2,6.575043643132386,False
71,that,13,2,7.559392100413191,False
72,philip,13,2,18.50887737469099,False
73,pullmans,13,2,21.689728007422556,True
74,novel,13,2,13.56457509720887,False
75,the,13,2,5.943206679084533,False
76,amber,13,2,17.052956634667417,False
77,spyglass,13,2,22.06415202406851,True
78,would,13,2,9.106510344085045,False
79,be,13,2,2.9755039857203496,False
80,a,13,2,4.229507083327227,False
81,worthy,13,2,11.7848429077199,False
82,winner,13,2,16.56381164388887,False
83,of,13,2,3.540444669811728,False
84,the,13,2,1.2955901239379133,False
85,booker,13,2,20.545797184914314,False
86,prize,13,2,2.226943847836713,False
