Are	180.57142857142858
tourists	312.8
enticed	318.6
by	382.57142857142856
these	364.0
attractions	469.5
threatening	461.1
their	269.0
very	300.7142857142857
existence?	517.1
The	238.0
two	321.3333333333333
young	318.0
sea-lions	368.0
took	248.625
not	389.0
the	376.6
slightest	268.9
interest	303.7
in	240.0
our	255.625
arrival.	249.8
They	276.3333333333333
were	265.0
playing	290.625
on	172.5
the	235.14285714285714
jetty,	287.85714285714283
rolling	239.1
over	210.875
and	238.8
tumbling	221.7
into	253.71428571428572
the	221.0
water	169.16666666666666
together,	541.875
entirely	229.42857142857142
ignoring	231.25
the	232.5
human	251.66666666666666
beings	309.5
edging	258.75
awkwardly	446.77777777777777
round	299.7142857142857
them.	248.42857142857142
Our	205.0
party	345.0
then	274.0
had	418.2
to	348.0
step	280.5
gingerly	460.375
over	309.5
hundreds	394.75
of	404.0
marine	410.2857142857143
iguanas	560.125
basking	428.25
on	260.8
the	323.0
rocks,	698.0
strange	308.5
creatures	383.0
with	360.0
richly	447.22222222222223
coloured	388.1111111111111
velvet	324.1111111111111
coats,	325.0
looking	330.44444444444446
like	242.85714285714286
something	235.5
between	185.42857142857142
a	0
giant	231.88888888888889
lizard	193.125
and	435.6666666666667
a	222.0
miniature	281.8888888888889
dinosaur,	344.77777777777777
and	206.25
found	221.77777777777777
nowhere	253.0
else	326.2857142857143
on	211.8
earth	251.5
except	231.14285714285714
here	203.33333333333334
in	255.2
the	167.0
Galapagos.	376.44444444444446
A	458.3333333333333
little	373.77777777777777
further	245.22222222222223
on	311.6
were	338.8888888888889
the	292.6
blue-footed	497.6666666666667
boobies,	531.7142857142857
birds	371.57142857142856
with	292.1666666666667
brilliant	300.7142857142857
china-blue	523.0
feet,	362.375
again	371.5
unique.	321.375
And	211.5
then	295.85714285714283
there	397.5
were	175.33333333333334
the	248.66666666666666
flightless	434.14285714285717
cormorants,	513.625
birds	359.1666666666667
with	202.2
vestigial	537.625
wings	425.7142857142857
who,	198.25
over	248.0
the	338.4
generations,	545.875
have	335.0
lost	307.6666666666667
the	172.0
ability	316.4
to	0
fly	214.0
because	260.77777777777777
the	230.33333333333334
nutrients	421.6
at	202.75
the	226.57142857142858
shoreline	284.1
are	265.1666666666667
so	223.33333333333334
rich	178.5
they	549.5
have	229.83333333333334
no	477.25
need	239.1
to	263.0
leave.	378.1
The	131.33333333333334
island	386.9
of	205.0
Fernandina	930.0
lies	265.8888888888889
at	204.0
the	235.16666666666666
far	300.3333333333333
western	245.1
edge	290.0
of	212.33333333333334
the	374.3333333333333
Galapagos	399.5
archipelago,	725.7
dominated	431.1
by	198.33333333333334
a	206.6
volcano	246.3
that	221.625
last	278.7
erupted	293.625
only	213.25
six	104.5
years	274.8
ago,	212.625
and	193.5
home	351.75
to	220.0
some	272.3333333333333
of	202.66666666666666
the	162.0
most	179.66666666666666
remarkable	298.1111111111111
wildlife	339.3333333333333
in	200.33333333333334
the	230.16666666666666
world.	190.28571428571428
It	216.375
was	174.33333333333334
late	268.0
afternoon	272.14285714285717
on	255.5
one	266.85714285714283
of	204.0
the	277.0
last	268.25
days	199.125
of	270.0
the	156.83333333333334
year,	315.5
and	150.0
we	265.2857142857143
had	277.1111111111111
come	205.55555555555554
ashore	484.2
to	207.6
scramble	254.9
round	237.75
the	249.2
rough	375.22222222222223
dark	381.5
lava	313.25
rocks	350.75
of	144.75
Punta	394.1
Espinosa	689.3
on	181.66666666666666
the	208.0
island.	370.77777777777777
In	509.6666666666667
the	106.0
golden	208.83333333333334
afternoon	355.6
light,	276.125
with	348.3333333333333
the	217.42857142857142
moon	220.71428571428572
rising	285.0
above	332.22222222222223
the	216.6
volcanoes	338.77777777777777
on	266.3333333333333
Isabela	343.1111111111111
Island	120.5
across	341.2857142857143
the	210.8
strait,	337.0
we	168.0
could	309.8
be	243.5
forgiven	278.4
for	199.16666666666666
thinking	220.22222222222223
that	205.85714285714286
we	213.66666666666666
were	196.42857142857142
guests	167.5
in	161.0
paradise.	378.0
The	181.0
creatures	304.77777777777777
you	237.2
see	170.4
in	169.75
the	181.2
Galapagos	443.0
are	203.0
remarkable	284.75
in	188.0
their	213.33333333333334
rarity.	237.8
They	269.0
are	495.4
even	287.0
more	283.5
so	226.2
for	312.0
their	269.375
lack	216.66666666666666
of	229.0
fear.	279.375
They	171.0
don't	303.25
run	190.33333333333334
away.	230.57142857142858
They	308.8
carry	278.3333333333333
on	149.5
basking	334.0
or	174.0
playing	346.2
or	119.0
mating	370.0
or	0
incubating	672.8
their	305.75
eggs	279.25
or	168.5
fighting	435.1
for	219.5
territory	258.75
with	266.6666666666667
blissful	475.25
disregard	361.7
for	151.0
human	225.33333333333334
beings.	252.125
It	223.5
is	429.25
as	207.33333333333334
if	256.0
you	264.0
are	255.66666666666666
walking	244.875
into	227.66666666666666
a	214.0
David	179.14285714285714
Attenborough	239.11111111111111
programme,	303.7
and	0
finding	275.3
that	202.4
the	188.6
real	232.22222222222223
thing	197.77777777777777
is	200.0
even	236.875
better	176.625
than	122.75
you	165.75
ever	295.0
imagined.	318.2
The	182.0
closeness	339.7
of	188.0
the	191.0
living	254.875
natural	253.5
world,	181.22222222222223
in	144.0
this	145.2
environment	276.42857142857144
of	72.0
volcanic	426.7
rock	220.5
and	130.5
sweeping	280.3
beaches	250.3
and	179.0
sparse	329.1111111111111
vegetation,	539.0
makes	271.5
the	158.5
Galapagos	357.7
experience	375.7
special.	337.1
The	234.0
colours	351.7
help,	238.2
too.	228.14285714285714
The	205.25
intense	417.125
black	276.375
of	252.5
the	273.8
rock,	203.625
the	155.0
